"Index","Ticket","FixVersion","AffectedVersion"
"86","BOOKKEEPER-296","4.1.1","4.0.0"
"87","BOOKKEEPER-278","4.2.0","4.0.0"
"88","BOOKKEEPER-274","4.2.0","4.0.0"
"89","BOOKKEEPER-143","4.2.0","4.0.0"
"90","BOOKKEEPER-55","4.2.0","4.0.0"
"91","BOOKKEEPER-543","4.2.0","4.1.0"
"92","BOOKKEEPER-543","4.1.1","4.1.0"
"93","BOOKKEEPER-530","4.2.0","4.1.0"
"94","BOOKKEEPER-500","4.2.0","4.1.0"
"95","BOOKKEEPER-495","4.2.0","4.1.0"
"96","BOOKKEEPER-457","4.2.0","4.1.0"
"97","BOOKKEEPER-442","4.2.0","4.1.0"
"98","BOOKKEEPER-439","4.2.0","4.1.0"
"99","BOOKKEEPER-431","4.2.0","4.1.0"
"100","BOOKKEEPER-430","4.2.0","4.1.0"
"101","BOOKKEEPER-408","4.2.0","4.1.0"
"102","BOOKKEEPER-396","4.2.0","4.1.0"
"103","BOOKKEEPER-396","4.1.1","4.1.0"
"104","BOOKKEEPER-388","4.2.0","4.1.0"
"105","BOOKKEEPER-387","4.2.0","4.1.0"
"106","BOOKKEEPER-387","4.1.1","4.1.0"
"107","BOOKKEEPER-383","4.2.0","4.1.0"
"108","BOOKKEEPER-355","4.2.0","4.1.0"
"109","BOOKKEEPER-349","4.2.0","4.1.0"
"110","BOOKKEEPER-347","4.2.0","4.1.0"
"111","BOOKKEEPER-346","4.2.0","4.1.0"
"112","BOOKKEEPER-345","4.2.0","4.1.0"
"113","BOOKKEEPER-343","4.2.0","4.1.0"
"114","BOOKKEEPER-336","4.2.0","4.1.0"
"115","BOOKKEEPER-328","4.2.0","4.1.0"
"116","BOOKKEEPER-326","4.2.0","4.1.0"
"117","BOOKKEEPER-326","4.1.1","4.1.0"
"118","BOOKKEEPER-302","4.2.0","4.1.0"
"119","BOOKKEEPER-300","4.2.0","4.1.0"
"120","BOOKKEEPER-294","4.2.0","4.1.0"
"121","BOOKKEEPER-294","4.1.1","4.1.0"
"122","BOOKKEEPER-252","4.2.0","4.1.0"
"123","BOOKKEEPER-191","4.2.0","4.1.0"
"124","BOOKKEEPER-183","4.2.0","4.1.0"
"125","BOOKKEEPER-524","4.2.0","4.2.0"
"126","BOOKKEEPER-465","4.2.0","4.2.0"
"127","BOOKKEEPER-447","4.2.0","4.2.0"
"128","BOOKKEEPER-447","4.1.1","4.2.0"
"129","BOOKKEEPER-441","4.2.0","4.2.0"
"130","BOOKKEEPER-440","4.2.0","4.2.0"
"131","BOOKKEEPER-427","4.2.0","4.2.0"
"132","BOOKKEEPER-409","4.2.0","4.2.0"
"133","BOOKKEEPER-403","4.2.0","4.2.0"
"134","BOOKKEEPER-397","4.2.0","4.2.0"
"135","BOOKKEEPER-384","4.2.0","4.2.0"
"136","BOOKKEEPER-380","4.2.0","4.2.0"
"137","BOOKKEEPER-354","4.2.0","4.2.0"
"138","BOOKKEEPER-354","4.1.1","4.2.0"
"139","BOOKKEEPER-352","4.2.0","4.2.0"
"140","BOOKKEEPER-352","4.1.1","4.2.0"
"141","BOOKKEEPER-351","4.2.0","4.2.0"
"142","BOOKKEEPER-325","4.2.0","4.2.0"
"143","BOOKKEEPER-318","4.2.0","4.2.0"
"144","BOOKKEEPER-315","4.2.0","4.2.0"
"145","BOOKKEEPER-304","4.2.0","4.2.0"
"146","BOOKKEEPER-299","4.2.0","4.2.0"
"147","BOOKKEEPER-280","4.2.0","4.2.0"
"148","BOOKKEEPER-568","4.2.1","4.2.0"
"149","BOOKKEEPER-568","4.3.0","4.2.0"
"150","BOOKKEEPER-554","4.2.1","4.2.0"
"151","BOOKKEEPER-554","4.3.0","4.2.0"
"152","BOOKKEEPER-660","4.2.2","4.2.0"
"153","BOOKKEEPER-607","4.2.2","4.2.0"
"154","BOOKKEEPER-607","4.3.0","4.2.0"
"155","BOOKKEEPER-603","4.2.2","4.2.0"
"156","BOOKKEEPER-603","4.3.0","4.2.0"
"157","BOOKKEEPER-601","4.2.2","4.2.0"
"158","BOOKKEEPER-601","4.3.0","4.2.0"
"159","BOOKKEEPER-600","4.2.2","4.2.0"
"160","BOOKKEEPER-600","4.3.0","4.2.0"
"161","BOOKKEEPER-596","4.2.2","4.2.0"
"162","BOOKKEEPER-596","4.3.0","4.2.0"
"163","BOOKKEEPER-584","4.2.2","4.2.0"
"164","BOOKKEEPER-584","4.3.0","4.2.0"
"165","BOOKKEEPER-581","4.2.2","4.2.0"
"166","BOOKKEEPER-581","4.3.0","4.2.0"
"167","BOOKKEEPER-559","4.2.2","4.2.0"
"168","BOOKKEEPER-559","4.3.0","4.2.0"
"169","BOOKKEEPER-446","4.2.2","4.2.0"
"170","BOOKKEEPER-446","4.3.0","4.2.0"
"171","BOOKKEEPER-668","4.2.2","4.2.1"
"172","BOOKKEEPER-668","4.3.0","4.2.1"
"173","BOOKKEEPER-667","4.2.2","4.2.1"
"174","BOOKKEEPER-667","4.3.0","4.2.1"
"175","BOOKKEEPER-664","4.2.2","4.2.1"
"176","BOOKKEEPER-664","4.3.0","4.2.1"
"177","BOOKKEEPER-646","4.2.2","4.2.1"
"178","BOOKKEEPER-646","4.3.0","4.2.1"
"179","BOOKKEEPER-637","4.2.2","4.2.1"
"180","BOOKKEEPER-637","4.3.0","4.2.1"
"181","BOOKKEEPER-636","4.2.2","4.2.1"
"182","BOOKKEEPER-636","4.3.0","4.2.1"
"183","BOOKKEEPER-632","4.2.2","4.2.1"
"184","BOOKKEEPER-632","4.3.0","4.2.1"
"185","BOOKKEEPER-626","4.2.2","4.2.1"
"186","BOOKKEEPER-626","4.3.0","4.2.1"
"187","BOOKKEEPER-625","4.2.2","4.2.1"
"188","BOOKKEEPER-624","4.2.2","4.2.1"
"189","BOOKKEEPER-624","4.3.0","4.2.1"
"190","BOOKKEEPER-623","4.2.2","4.2.1"
"191","BOOKKEEPER-623","4.3.0","4.2.1"
"192","BOOKKEEPER-621","4.2.2","4.2.1"
"193","BOOKKEEPER-619","4.2.2","4.2.1"
"194","BOOKKEEPER-619","4.3.0","4.2.1"
"195","BOOKKEEPER-618","4.2.2","4.2.1"
"196","BOOKKEEPER-618","4.3.0","4.2.1"
"197","BOOKKEEPER-598","4.2.2","4.2.1"
"198","BOOKKEEPER-598","4.3.0","4.2.1"
"199","BOOKKEEPER-583","4.2.2","4.2.1"
"200","BOOKKEEPER-583","4.3.0","4.2.1"
"201","BOOKKEEPER-313","4.2.2","4.2.1"
"202","BOOKKEEPER-313","4.3.0","4.2.1"
"203","BOOKKEEPER-688","4.3.0","4.2.0"
"204","BOOKKEEPER-688","4.2.3","4.2.0"
"205","BOOKKEEPER-686","4.3.0","4.2.0"
"206","BOOKKEEPER-654","4.3.0","4.2.0"
"207","BOOKKEEPER-645","4.3.0","4.2.0"
"208","BOOKKEEPER-643","4.3.0","4.2.0"
"209","BOOKKEEPER-640","4.3.0","4.2.0"
"210","BOOKKEEPER-602","4.3.0","4.2.0"
"211","BOOKKEEPER-602","4.2.3","4.2.0"
"212","BOOKKEEPER-599","4.3.0","4.2.0"
"213","BOOKKEEPER-432","4.3.0","4.2.0"
"214","BOOKKEEPER-429","4.3.0","4.2.0"
"215","BOOKKEEPER-363","4.3.0","4.2.0"
"216","BOOKKEEPER-712","4.3.0","4.2.1"
"217","BOOKKEEPER-712","4.2.3","4.2.1"
"218","BOOKKEEPER-666","4.3.0","4.2.1"
"219","BOOKKEEPER-641","4.3.0","4.2.1"
"220","BOOKKEEPER-629","4.3.0","4.2.1"
"221","BOOKKEEPER-768","4.3.0","4.2.2"
"222","BOOKKEEPER-711","4.3.0","4.2.2"
"223","BOOKKEEPER-711","4.2.3","4.2.2"
"224","BOOKKEEPER-747","4.3.0","4.3.0"
"225","BOOKKEEPER-747","4.2.3","4.3.0"
"226","BOOKKEEPER-638","4.3.0","4.3.0"
"227","BOOKKEEPER-633","4.3.0","4.3.0"
"228","BOOKKEEPER-634","4.4.0","4.2.1"
"229","BOOKKEEPER-851","4.4.0","4.3.0"
"230","BOOKKEEPER-850","4.4.0","4.3.0"
"231","BOOKKEEPER-849","4.4.0","4.3.0"
"232","BOOKKEEPER-848","4.4.0","4.3.0"
"233","BOOKKEEPER-832","4.4.0","4.3.0"
"234","BOOKKEEPER-827","4.4.0","4.3.0"
"235","BOOKKEEPER-821","4.4.0","4.3.0"
"236","BOOKKEEPER-820","4.4.0","4.3.0"
"237","BOOKKEEPER-820","4.3.1","4.3.0"
"238","BOOKKEEPER-814","4.4.0","4.3.0"
"239","BOOKKEEPER-814","4.3.1","4.3.0"
"240","BOOKKEEPER-813","4.4.0","4.3.0"
"241","BOOKKEEPER-813","4.3.1","4.3.0"
"242","BOOKKEEPER-809","4.4.0","4.3.0"
"243","BOOKKEEPER-809","4.3.1","4.3.0"
"244","BOOKKEEPER-805","4.4.0","4.3.0"
"245","BOOKKEEPER-805","4.3.1","4.3.0"
"246","BOOKKEEPER-804","4.4.0","4.3.0"
"247","BOOKKEEPER-804","4.3.1","4.3.0"
"248","BOOKKEEPER-797","4.4.0","4.3.0"
"249","BOOKKEEPER-639","4.4.0","4.3.0"
"250","BOOKKEEPER-921","4.4.0","4.4.0"
"251","BOOKKEEPER-917","4.4.0","4.4.0"
"252","BOOKKEEPER-904","4.4.0","4.4.0"
"253","BOOKKEEPER-896","4.4.0","4.4.0"
"254","BOOKKEEPER-836","4.4.0","4.2.3"
"255","BOOKKEEPER-926","4.4.0","4.3.1"
"256","BOOKKEEPER-880","4.4.0","4.3.1"
"257","BOOKKEEPER-879","4.4.0","4.3.1"
"258","BOOKKEEPER-867","4.4.0","4.3.1"
"259","BOOKKEEPER-911","4.4.0","4.3.2"
"260","BOOKKEEPER-910","4.4.0","4.3.2"
"261","BOOKKEEPER-909","4.4.0","4.3.2"
"262","BOOKKEEPER-900","4.4.0","4.3.2"
"263","BOOKKEEPER-899","4.4.0","4.3.2"
"264","BOOKKEEPER-898","4.4.0","4.3.2"
"265","BOOKKEEPER-895","4.4.0","4.3.2"
"266","BOOKKEEPER-894","4.4.0","4.3.2"
"267","BOOKKEEPER-893","4.4.0","4.3.2"
"268","BOOKKEEPER-892","4.4.0","4.3.2"
"269","BOOKKEEPER-890","4.4.0","4.3.2"
"270","BOOKKEEPER-889","4.4.0","4.3.2"
"271","BOOKKEEPER-752","4.2.3","4.2.2"
"272","BOOKKEEPER-390","4.5.0","4.0.0"
"273","BOOKKEEPER-852","4.5.0","4.3.0"
"274","BOOKKEEPER-1031","4.5.0","4.4.0"
"275","BOOKKEEPER-1022","4.5.0","4.4.0"
"276","BOOKKEEPER-1019","4.5.0","4.4.0"
"277","BOOKKEEPER-1001","4.5.0","4.4.0"
"278","BOOKKEEPER-999","4.5.0","4.4.0"
"279","BOOKKEEPER-981","4.5.0","4.4.0"
"280","BOOKKEEPER-969","4.5.0","4.4.0"
"281","BOOKKEEPER-961","4.5.0","4.4.0"
"282","BOOKKEEPER-959","4.5.0","4.4.0"
"283","BOOKKEEPER-944","4.5.0","4.4.0"
"284","BOOKKEEPER-943","4.5.0","4.4.0"
"285","BOOKKEEPER-935","4.5.0","4.4.0"
"286","BOOKKEEPER-930","4.5.0","4.4.0"
"287","BOOKKEEPER-928","4.5.0","4.4.0"
"288","BOOKKEEPER-912","4.5.0","4.4.0"
"289","BOOKKEEPER-881","4.5.0","4.2.3"
"290","BOOKKEEPER-1003","4.5.0","4.3.1"
"291","BOOKKEEPER-1002","4.5.0","4.3.1"
"292","BOOKKEEPER-873","4.5.0","4.3.1"
"293","BOOKKEEPER-949","4.5.0","4.3.2"
"294","BOOKKEEPER-927","4.5.0","4.3.2"
"295","BOOKKEEPER-924","4.5.0","4.3.2"
"296","BOOKKEEPER-922","4.5.0","4.3.2"
"297","BOOKKEEPER-908","4.5.0","4.3.2"
"298","BOOKKEEPER-1103","4.5.0","4.5.0"
"299","BOOKKEEPER-1102","4.5.0","4.5.0"
"300","BOOKKEEPER-1079","4.5.0","4.5.0"
"301","BOOKKEEPER-1071","4.5.0","4.5.0"
"302","BOOKKEEPER-1070","4.5.0","4.5.0"
"303","BOOKKEEPER-1043","4.5.0","4.5.0"
"304","BOOKKEEPER-1039","4.5.0","4.5.0"
"305","BOOKKEEPER-1038","4.5.0","4.5.0"
"306","BOOKKEEPER-1027","4.5.0","4.5.0"
"307","BOOKKEEPER-1020","4.5.0","4.5.0"
"308","BOOKKEEPER-1017","4.5.0","4.5.0"
"309","BOOKKEEPER-1008","4.5.0","4.5.0"
"310","BOOKKEEPER-1007","4.5.0","4.5.0"
"311","BOOKKEEPER-1004","4.5.0","4.5.0"
"312","BOOKKEEPER-987","4.5.0","4.5.0"
"313","BOOKKEEPER-976","4.5.0","4.5.0"
"314","BOOKKEEPER-968","4.5.0","4.5.0"
"315","BOOKKEEPER-948","4.5.0","4.5.0"
"316","BOOKKEEPER-946","4.5.0","4.5.0"
"317","BOOKKEEPER-945","4.5.0","4.5.0"
"318","BOOKKEEPER-940","4.5.0","4.5.0"
"319","BOOKKEEPER-938","4.5.0","4.5.0"
"320","BOOKKEEPER-937","4.5.0","4.5.0"
"321","BOOKKEEPER-824","4.6.0","4.3.0"
"322","BOOKKEEPER-929","4.6.0","4.4.0"
"323","BOOKKEEPER-915","4.6.0","4.4.0"
"324","BOOKKEEPER-1106","4.6.0","4.5.0"
"325","BOOKKEEPER-1105","4.6.0","4.5.0"
"326","BOOKKEEPER-1105","4.5.1","4.5.0"
"327","BOOKKEEPER-1100","4.6.0","4.5.0"
