"Index","Ticket","FixVersion"
"145","BOOKKEEPER-184","4.1.0"
"146","BOOKKEEPER-182","4.1.0"
"147","BOOKKEEPER-180","4.1.0"
"148","BOOKKEEPER-178","4.1.0"
"149","BOOKKEEPER-177","4.1.0"
"150","BOOKKEEPER-176","4.1.0"
"151","BOOKKEEPER-175","4.1.0"
"152","BOOKKEEPER-174","4.1.0"
"153","BOOKKEEPER-173","4.1.0"
"154","BOOKKEEPER-172","4.1.0"
"155","BOOKKEEPER-171","4.1.0"
"156","BOOKKEEPER-170","4.1.0"
"157","BOOKKEEPER-169","4.1.0"
"158","BOOKKEEPER-168","4.1.0"
"159","BOOKKEEPER-167","4.1.0"
"160","BOOKKEEPER-166","4.1.0"
"161","BOOKKEEPER-165","4.1.0"
"162","BOOKKEEPER-163","4.1.0"
"163","BOOKKEEPER-162","4.1.0"
"164","BOOKKEEPER-161","4.1.0"
"165","BOOKKEEPER-160","4.1.0"
"166","BOOKKEEPER-158","4.1.0"
"167","BOOKKEEPER-157","4.1.0"
"168","BOOKKEEPER-156","4.1.0"
"169","BOOKKEEPER-153","4.1.0"
"170","BOOKKEEPER-152","4.1.0"
"171","BOOKKEEPER-150","4.1.0"
"172","BOOKKEEPER-148","4.1.0"
"173","BOOKKEEPER-146","4.1.0"
"174","BOOKKEEPER-145","4.1.0"
"175","BOOKKEEPER-142","4.1.0"
"176","BOOKKEEPER-141","4.1.0"
"177","BOOKKEEPER-140","4.1.0"
"178","BOOKKEEPER-137","4.1.0"
"179","BOOKKEEPER-135","4.1.0"
"180","BOOKKEEPER-133","4.1.0"
"181","BOOKKEEPER-113","4.1.0"
"182","BOOKKEEPER-112","4.1.0"
"183","BOOKKEEPER-98","4.1.0"
"184","BOOKKEEPER-97","4.1.0"
"185","BOOKKEEPER-96","4.1.0"
"186","BOOKKEEPER-95","4.1.0"
"187","BOOKKEEPER-77","4.1.0"
"188","BOOKKEEPER-74","4.1.0"
"189","BOOKKEEPER-73","4.1.0"
"190","BOOKKEEPER-72","4.1.0"
"191","BOOKKEEPER-56","4.1.0"
"192","BOOKKEEPER-40","4.1.0"
"193","BOOKKEEPER-23","4.1.0"
"194","BOOKKEEPER-543","4.2.0"
"195","BOOKKEEPER-543","4.1.1"
"196","BOOKKEEPER-542","4.2.0"
"197","BOOKKEEPER-541","4.2.0"
"198","BOOKKEEPER-540","4.2.0"
"199","BOOKKEEPER-539","4.2.0"
"200","BOOKKEEPER-538","4.2.0"
"201","BOOKKEEPER-534","4.2.0"
"202","BOOKKEEPER-533","4.2.0"
"203","BOOKKEEPER-532","4.2.0"
"204","BOOKKEEPER-531","4.2.0"
"205","BOOKKEEPER-530","4.2.0"
"206","BOOKKEEPER-529","4.2.0"
"207","BOOKKEEPER-524","4.2.0"
"208","BOOKKEEPER-523","4.2.0"
"209","BOOKKEEPER-522","4.2.0"
"210","BOOKKEEPER-520","4.2.0"
"211","BOOKKEEPER-514","4.2.0"
"212","BOOKKEEPER-513","4.2.0"
"213","BOOKKEEPER-512","4.2.0"
"214","BOOKKEEPER-511","4.2.0"
"215","BOOKKEEPER-509","4.2.0"
"216","BOOKKEEPER-507","4.2.0"
"217","BOOKKEEPER-504","4.2.0"
"218","BOOKKEEPER-503","4.2.0"
"219","BOOKKEEPER-500","4.2.0"
"220","BOOKKEEPER-498","4.2.0"
"221","BOOKKEEPER-497","4.2.0"
"222","BOOKKEEPER-496","4.2.0"
"223","BOOKKEEPER-495","4.2.0"
"224","BOOKKEEPER-493","4.2.0"
"225","BOOKKEEPER-491","4.2.0"
"226","BOOKKEEPER-490","4.2.0"
"227","BOOKKEEPER-487","4.2.0"
"228","BOOKKEEPER-485","4.2.0"
"229","BOOKKEEPER-484","4.2.0"
"230","BOOKKEEPER-483","4.2.0"
"231","BOOKKEEPER-482","4.2.0"
"232","BOOKKEEPER-481","4.2.0"
"233","BOOKKEEPER-480","4.2.0"
"234","BOOKKEEPER-479","4.2.0"
"235","BOOKKEEPER-477","4.2.0"
"236","BOOKKEEPER-476","4.2.0"
"237","BOOKKEEPER-475","4.2.0"
"238","BOOKKEEPER-474","4.2.0"
"239","BOOKKEEPER-472","4.2.0"
"240","BOOKKEEPER-471","4.2.0"
"241","BOOKKEEPER-470","4.2.0"
"242","BOOKKEEPER-469","4.2.0"
"243","BOOKKEEPER-468","4.2.0"
"244","BOOKKEEPER-467","4.2.0"
"245","BOOKKEEPER-466","4.2.0"
"246","BOOKKEEPER-465","4.2.0"
"247","BOOKKEEPER-463","4.2.0"
"248","BOOKKEEPER-461","4.2.0"
"249","BOOKKEEPER-460","4.2.0"
"250","BOOKKEEPER-459","4.2.0"
"251","BOOKKEEPER-458","4.2.0"
"252","BOOKKEEPER-457","4.2.0"
"253","BOOKKEEPER-454","4.2.0"
"254","BOOKKEEPER-453","4.2.0"
"255","BOOKKEEPER-452","4.2.0"
"256","BOOKKEEPER-447","4.2.0"
"257","BOOKKEEPER-447","4.1.1"
"258","BOOKKEEPER-444","4.2.0"
"259","BOOKKEEPER-442","4.2.0"
"260","BOOKKEEPER-441","4.2.0"
"261","BOOKKEEPER-440","4.2.0"
"262","BOOKKEEPER-439","4.2.0"
"263","BOOKKEEPER-436","4.2.0"
"264","BOOKKEEPER-435","4.2.0"
"265","BOOKKEEPER-434","4.2.0"
"266","BOOKKEEPER-431","4.2.0"
"267","BOOKKEEPER-430","4.2.0"
"268","BOOKKEEPER-428","4.2.0"
"269","BOOKKEEPER-427","4.2.0"
"270","BOOKKEEPER-426","4.2.0"
"271","BOOKKEEPER-425","4.2.0"
"272","BOOKKEEPER-424","4.2.0"
"273","BOOKKEEPER-422","4.2.0"
"274","BOOKKEEPER-418","4.2.0"
"275","BOOKKEEPER-417","4.2.0"
"276","BOOKKEEPER-416","4.2.0"
"277","BOOKKEEPER-415","4.2.0"
"278","BOOKKEEPER-413","4.2.0"
"279","BOOKKEEPER-411","4.2.0"
"280","BOOKKEEPER-409","4.2.0"
"281","BOOKKEEPER-408","4.2.0"
"282","BOOKKEEPER-405","4.2.0"
"283","BOOKKEEPER-404","4.2.0"
"284","BOOKKEEPER-403","4.2.0"
"285","BOOKKEEPER-399","4.2.0"
"286","BOOKKEEPER-397","4.2.0"
"287","BOOKKEEPER-396","4.2.0"
"288","BOOKKEEPER-396","4.1.1"
"289","BOOKKEEPER-395","4.2.0"
"290","BOOKKEEPER-394","4.2.0"
"291","BOOKKEEPER-392","4.2.0"
"292","BOOKKEEPER-389","4.2.0"
"293","BOOKKEEPER-388","4.2.0"
"294","BOOKKEEPER-387","4.2.0"
"295","BOOKKEEPER-387","4.1.1"
"296","BOOKKEEPER-386","4.2.0"
"297","BOOKKEEPER-385","4.2.0"
"298","BOOKKEEPER-384","4.2.0"
"299","BOOKKEEPER-383","4.2.0"
"300","BOOKKEEPER-382","4.2.0"
"301","BOOKKEEPER-381","4.2.0"
"302","BOOKKEEPER-380","4.2.0"
"303","BOOKKEEPER-378","4.2.0"
"304","BOOKKEEPER-376","4.2.0"
"305","BOOKKEEPER-375","4.2.0"
"306","BOOKKEEPER-372","4.2.0"
"307","BOOKKEEPER-372","4.1.1"
"308","BOOKKEEPER-371","4.2.0"
"309","BOOKKEEPER-370","4.2.0"
"310","BOOKKEEPER-369","4.2.0"
"311","BOOKKEEPER-368","4.2.0"
"312","BOOKKEEPER-367","4.2.0"
"313","BOOKKEEPER-365","4.2.0"
"314","BOOKKEEPER-364","4.2.0"
"315","BOOKKEEPER-355","4.2.0"
"316","BOOKKEEPER-354","4.2.0"
"317","BOOKKEEPER-354","4.1.1"
"318","BOOKKEEPER-352","4.2.0"
"319","BOOKKEEPER-352","4.1.1"
"320","BOOKKEEPER-351","4.2.0"
"321","BOOKKEEPER-349","4.2.0"
"322","BOOKKEEPER-347","4.2.0"
"323","BOOKKEEPER-346","4.2.0"
"324","BOOKKEEPER-345","4.2.0"
