@relation M1D2BOOK
@attribute Version NUMERIC
@attribute Class NAME
@attribute NFix NUMERIC
@attribute NRevision NUMERIC
@attribute NAuthor NUMERIC
@attribute LocAdded NUMERIC
@attribute LocDeleted NUMERIC
@attribute LocTouched NUMERIC
@attribute MaxLockAdded NUMERIC
@attribute AverageLockAdded NUMERIC
@attribute Size NUMERIC
@attribute Age NUMERIC
@attribute Buggy {'YES'-'NO'}
@data
'1','MockExecutorControllerTest.java','0','0','0','0','0','0','0','0','104','317','NO'
'1','MoreAsserts.java','0','0','0','0','0','0','0','0','54','325','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','23','340','NO'
'1','TestTimedOutTestsListener.java','0','0','0','0','0','0','0','0','183','289','NO'
'1','TimedOutTestsListener.java','0','0','0','0','0','0','0','0','168','340','NO'
'1','TestBackoff.java','0','0','0','0','0','0','0','0','191','303','NO'
'1','TestMathUtils.java','0','0','0','0','0','0','0','0','53','303','NO'
'1','TestOrderedExecutorDecorators.java','0','0','0','0','0','0','0','0','157','355','NO'
'1','TestReflectionUtils.java','0','0','0','0','0','0','0','0','80','305','NO'
'1','TestSharedResourceManager.java','0','0','0','0','0','0','0','0','256','303','NO'
'1','TestWatchable.java','0','0','0','0','0','0','0','0','129','314','NO'
'1','TestStatsProvider.java','0','0','0','0','0','0','0','0','276','317','NO'
'1','ByteBufAllocatorBuilder.java','0','0','0','0','0','0','0','0','97','359','NO'
'1','ByteBufAllocatorBuilderImpl.java','0','0','0','0','0','0','0','0','90','359','NO'
'1','ByteBufAllocatorImpl.java','0','0','0','0','0','0','0','0','195','359','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','21','359','NO'
'1','LeakDetectionPolicy.java','0','0','0','0','0','0','0','0','47','359','NO'
'1','OutOfMemoryPolicy.java','0','0','0','0','0','0','0','0','39','359','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','21','359','NO'
'1','PoolingPolicy.java','0','0','0','0','0','0','0','0','45','359','NO'
'1','ByteBufAllocatorBuilderTest.java','0','0','0','0','0','0','0','0','270','359','NO'
'1','AbstractHttpHandlerFactory.java','0','0','0','0','0','0','0','0','56','305','NO'
'1','HttpRouter.java','0','0','0','0','0','0','0','0','112','297','NO'
'1','HttpServer.java','0','0','0','0','0','0','0','0','114','297','NO'
'1','HttpServerLoader.java','0','0','0','0','0','0','0','0','67','297','NO'
'1','HttpServiceProvider.java','0','0','0','0','0','0','0','0','39','297','NO'
'1','NullHttpServiceProvider.java','0','0','0','0','0','0','0','0','52','305','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','20','297','NO'
'1','ErrorHttpService.java','0','0','0','0','0','0','0','0','42','297','NO'
'1','HeartbeatService.java','0','0','0','0','0','0','0','0','36','297','NO'
'1','HttpEndpointService.java','0','0','0','0','0','0','0','0','30','297','NO'
'1','HttpServiceRequest.java','0','0','0','0','0','0','0','0','71','297','NO'
'1','HttpServiceResponse.java','0','0','0','0','0','0','0','0','57','297','NO'
'1','NullHttpService.java','0','0','0','0','0','0','0','0','38','297','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','20','297','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','20','297','NO'
'1','VertxAbstractHandler.java','0','0','0','0','0','0','0','0','93','297','NO'
'1','VertxHttpHandlerFactory.java','0','0','0','0','0','0','0','0','52','297','NO'
'1','VertxHttpServer.java','0','0','0','0','0','0','0','0','132','297','NO'
'1','TestVertxHttpServer.java','0','0','0','0','0','0','0','0','147','297','NO'
'1','AuthCallbacks.java','0','0','0','0','0','0','0','0','31','268','NO'
'1','AuthProviderFactoryFactory.java','0','0','0','0','0','0','0','0','108','225','NO'
'1','AuthToken.java','0','0','0','0','0','0','0','0','44','268','NO'
'1','BookieAuthProvider.java','0','0','0','0','0','0','0','0','99','225','NO'
'1','BookKeeperPrincipal.java','0','0','0','0','0','0','0','0','69','268','NO'
'1','ClientAuthProvider.java','0','0','0','0','0','0','0','0','103','225','NO'
'1','package-info.java','0','0','0','0','0','0','0','0','20','292','NO'
'1','AbstractLogCompactor.java','0','0','0','0','0','0','0','0','76','309','NO'
