Index,Version ID,Version Name,DateStart,DateEnd
1,12324252,0.2-incubating,2013-11-20T00:00,2014-05-01T00:00
2,12324253,0.8.0,2014-05-01T00:00,2014-10-21T00:00
3,12325340,0.9.0,2014-10-21T00:00,2015-03-09T00:00
4,12328654,0.10.0,2015-03-09T00:00,2015-06-29T00:00
5,12329684,0.10.1,2015-06-29T00:00,2016-02-03T00:00
