"Dataset","#TrainingRelease","%Training","%DefectiveInTraining","%DefectiveInTesting","Classifier","Balancing","Feature Selection","TruePositive","FalsePositive","TrueNegative","FalseNegative","Precision","Recall","AUC","Kappa"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Naive Bayes","No Sampling","Best First","0.6966666666666667","0.013231552162849873","0.9867684478371501","0.30333333333333334","0.8007662835249042","0.6966666666666667","0.9440335029686174","0.727088155276729"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Naive Bayes","Oversampling","No Selection","0.8","0.017811704834605598","0.9821882951653944","0.2","0.7741935483870968","0.8","0.9888346055979643","0.7703295326400197"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Naive Bayes","Oversampling","Best First","0.7133333333333334","0.014249363867684479","0.9857506361323155","0.2866666666666667","0.7925925925925926","0.7133333333333334","0.9750831212892281","0.7329331732693072"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Naive Bayes","Undersampling","No Selection","0.7666666666666667","0.015267175572519083","0.9847328244274809","0.23333333333333334","0.7931034482758621","0.7666666666666667","0.9877251908396947","0.7631476935004519"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Naive Bayes","Undersampling","Best First","0.6966666666666667","0.012977099236641221","0.9870229007633587","0.30333333333333334","0.8038461538461539","0.6966666666666667","0.9487896522476675","0.7285520607375268"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Naive Bayes","SMOTE","No Selection","0.7666666666666667","0.015776081424936386","0.9842239185750636","0.23333333333333334","0.7876712328767124","0.7666666666666667","0.9873740458015268","0.76025350370981"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","Naive Bayes","SMOTE","Best First","0.6966666666666667","0.013231552162849873","0.9867684478371501","0.30333333333333334","0.8007662835249042","0.6966666666666667","0.9438083121289228","0.727088155276729"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","IBK","No Sampling","No Selection","0.10666666666666667","0.0","1.0","0.8933333333333333","1.0","0.10666666666666667","0.5533333333333333","0.1815819111149621"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","IBK","No Sampling","Best First","0.17","0.0027989821882951653","0.9972010178117048","0.83","0.8225806451612904","0.17","0.39454877014419","0.26388498453877357"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","IBK","Oversampling","No Selection","0.3466666666666667","0.010178117048346057","0.989821882951654","0.6533333333333333","0.7222222222222222","0.3466666666666667","0.7048193384223919","0.44283705043198734"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","IBK","Oversampling","Best First","0.29","0.007888040712468193","0.9921119592875318","0.71","0.7372881355932204","0.29","0.5677480916030534","0.3919191205062045"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","IBK","Undersampling","No Selection","0.6333333333333333","0.017302798982188294","0.9826972010178117","0.36666666666666664","0.7364341085271318","0.6333333333333333","0.824715860899067","0.6586142169264675"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","IBK","Undersampling","Best First","0.43333333333333335","0.011450381679389313","0.9885496183206107","0.5666666666666667","0.7428571428571429","0.43333333333333335","0.5893558100084818","0.5224103977944072"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","IBK","SMOTE","No Selection","0.10666666666666667","0.0","1.0","0.8933333333333333","1.0","0.10666666666666667","0.5533333333333333","0.1815819111149621"
"BOOK","4","57.14285714285714","0.02363693665300977","0.07088846880907372","IBK","SMOTE","Best First","0.17","0.0027989821882951653","0.9972010178117048","0.83","0.8225806451612904","0.17","0.4796526717557252","0.26388498453877357"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Random Forest","No Sampling","No Selection","0.875","0.06169296987087518","0.9383070301291249","0.125","0.14","0.875","0.9707476486529572","0.22624095784484888"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Random Forest","No Sampling","Best First","0.875","0.06575801052128169","0.9342419894787183","0.125","0.13249211356466878","0.875","0.9251130838514268","0.21465750655096189"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Random Forest","Oversampling","No Selection","0.9166666666666666","0.07651841224294596","0.923481587757054","0.08333333333333333","0.12087912087912088","0.9166666666666666","0.9669416547106647","0.19750137017102518"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Random Forest","Oversampling","Best First","0.8958333333333334","0.07293161166905787","0.9270683883309422","0.10416666666666667","0.1235632183908046","0.8958333333333334","0.9165894508209788","0.20124117363273514"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Random Forest","Undersampling","No Selection","0.9583333333333334","0.08369201339072214","0.9163079866092778","0.041666666666666664","0.11616161616161616","0.9583333333333334","0.9697114618205006","0.19082834448487665"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Random Forest","Undersampling","Best First","0.9166666666666666","0.07651841224294596","0.923481587757054","0.08333333333333333","0.12087912087912088","0.9166666666666666","0.9187166228279929","0.19750137017102518"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Random Forest","SMOTE","No Selection","0.875","0.06217120994739359","0.9378287900526064","0.125","0.1390728476821192","0.875","0.9604256336681014","0.22481998032391132"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Random Forest","SMOTE","Best First","0.875","0.06695361071257772","0.9330463892874223","0.125","0.13043478260869565","0.875","0.9388475410489399","0.21145257295716055"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Naive Bayes","No Sampling","No Selection","0.8333333333333334","0.062649450023912","0.937350549976088","0.16666666666666666","0.13245033112582782","0.8333333333333334","0.9616212338593975","0.21316313792276712"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Naive Bayes","No Sampling","Best First","0.7916666666666666","0.061453849832615974","0.9385461501673841","0.20833333333333334","0.1288135593220339","0.7916666666666666","0.9310188506296828","0.2060777325544611"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Naive Bayes","Oversampling","No Selection","0.8333333333333334","0.06551889048302248","0.9344811095169775","0.16666666666666666","0.12738853503184713","0.8333333333333334","0.9624382273234497","0.20535121869329287"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Naive Bayes","Oversampling","Best First","0.7916666666666666","0.0628885700621712","0.9371114299378288","0.20833333333333334","0.12624584717607973","0.7916666666666666","0.9500189303363622","0.20214816626524915"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Naive Bayes","Undersampling","No Selection","0.8333333333333334","0.06551889048302248","0.9344811095169775","0.16666666666666666","0.12738853503184713","0.8333333333333334","0.9624382273234497","0.20535121869329287"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Naive Bayes","Undersampling","Best First","0.7916666666666666","0.0628885700621712","0.9371114299378288","0.20833333333333334","0.12624584717607973","0.7916666666666666","0.95013599952176","0.20214816626524915"
