"Dataset","#TrainingRelease","%Training","%DefectiveInTraining","%DefectiveInTesting","Classifier","Balancing","Feature Selection","TruePositive","FalsePositive","TrueNegative","FalseNegative","Precision","Recall","AUC","Kappa"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Random Forest","SMOTE","Best First","0.031818181818181815","0.003142857142857143","0.9968571428571429","0.9681818181818181","0.3888888888888889","0.031818181818181815","0.7133350649350649","0.05032822757111566"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Naive Bayes","No Sampling","No Selection","0.4818181818181818","0.07714285714285714","0.9228571428571428","0.5181818181818182","0.28191489361702127","0.4818181818181818","0.8493974025974026","0.3037510722919752"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Naive Bayes","No Sampling","Best First","0.36363636363636365","0.055142857142857146","0.9448571428571428","0.6363636363636364","0.29304029304029305","0.36363636363636365","0.8372603896103896","0.27720207253886026"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Naive Bayes","Oversampling","No Selection","0.7","0.184","0.816","0.3","0.19298245614035087","0.7","0.8531194805194805","0.23127968706342528"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Naive Bayes","Oversampling","Best First","0.4727272727272727","0.10857142857142857","0.8914285714285715","0.5272727272727272","0.21487603305785125","0.4727272727272727","0.8286038961038961","0.23309170712243157"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Naive Bayes","Undersampling","No Selection","0.8818181818181818","0.3291428571428571","0.6708571428571428","0.11818181818181818","0.14413075780089152","0.8818181818181818","0.8586233766233766","0.16263605234193484"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Naive Bayes","Undersampling","Best First","0.5636363636363636","0.18114285714285713","0.8188571428571428","0.43636363636363634","0.16358839050131926","0.5636363636363636","0.8125175324675324","0.17824634453374624"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Naive Bayes","SMOTE","No Selection","0.5181818181818182","0.08514285714285715","0.9148571428571428","0.4818181818181818","0.2766990291262136","0.5181818181818182","0.8506363636363636","0.3073519651943071"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","Naive Bayes","SMOTE","Best First","0.38181818181818183","0.05914285714285714","0.9408571428571428","0.6181818181818182","0.28865979381443296","0.38181818181818183","0.8406701298701299","0.2802896981183161"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","IBK","No Sampling","No Selection","0.07272727272727272","0.004571428571428572","0.9954285714285714","0.9272727272727272","0.5","0.07272727272727272","0.534077922077922","0.11367180731242424"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","IBK","No Sampling","Best First","0.05","0.004285714285714286","0.9957142857142857","0.95","0.4230769230769231","0.05","0.6417545454545455","0.07790368271954645"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","IBK","Oversampling","No Selection","0.14545454545454545","0.017142857142857144","0.9828571428571429","0.8545454545454545","0.34782608695652173","0.14545454545454545","0.5915350649350649","0.17640337094700825"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","IBK","Oversampling","Best First","0.08636363636363636","0.010571428571428572","0.9894285714285714","0.9136363636363637","0.3392857142857143","0.08636363636363636","0.6190019480519481","0.11647772632923602"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","IBK","Undersampling","No Selection","0.7636363636363637","0.42742857142857144","0.5725714285714286","0.23636363636363636","0.10096153846153846","0.7636363636363637","0.6681038961038961","0.08249420042317793"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","IBK","Undersampling","Best First","0.39545454545454545","0.21571428571428572","0.7842857142857143","0.6045454545454545","0.10332541567695962","0.39545454545454545","0.6129961038961039","0.07731498033607409"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","IBK","SMOTE","No Selection","0.07272727272727272","0.004571428571428572","0.9954285714285714","0.9272727272727272","0.5","0.07272727272727272","0.534077922077922","0.11367180731242424"
"TAJO","3","60.0","0.00429991937651169","0.05910800644814616","IBK","SMOTE","Best First","0.05","0.004285714285714286","0.9957142857142857","0.95","0.4230769230769231","0.05","0.7040194805194805","0.07790368271954645"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Random Forest","No Sampling","No Selection","0.10621761658031088","0.033921302578018994","0.966078697421981","0.8937823834196891","0.45054945054945056","0.10621761658031088","0.83937472318108","0.10069917059174884"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Random Forest","No Sampling","Best First","0.12046632124352331","0.028493894165535955","0.9715061058344641","0.8795336787564767","0.5254237288135594","0.12046632124352331","0.7821149492762284","0.12853332154331365"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Random Forest","Oversampling","No Selection","0.5518134715025906","0.1322930800542741","0.8677069199457259","0.4481865284974093","0.5220588235294118","0.5518134715025906","0.7941469056038695","0.41087769308628197"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Random Forest","Oversampling","Best First","0.33678756476683935","0.07564450474898236","0.9243554952510177","0.6632124352331606","0.5383022774327122","0.33678756476683935","0.7232311710406986","0.3030063871962409"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Random Forest","Undersampling","No Selection","0.7435233160621761","0.2693351424694708","0.7306648575305291","0.25647668393782386","0.4195906432748538","0.7435233160621761","0.8166861172235853","0.36903960737324143"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Random Forest","Undersampling","Best First","0.4326424870466321","0.14416553595658074","0.8558344640434192","0.5673575129533679","0.4400527009222661","0.4326424870466321","0.7031947539738894","0.290280990683164"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Random Forest","SMOTE","No Selection","0.12176165803108809","0.03459972862957938","0.9654002713704206","0.8782383419689119","0.47959183673469385","0.12176165803108809","0.8693871668506268","0.12028368243865999"
