"Version","Class","NFix","NRevision","NAuthor","LocAdded","LocDeleted","LocTouched","MaxLockAdded","AverageLockAdded","Size","Age","Buggy"
"1","Aggregation.java","2","96","1","50436","118362","168798","50436","50436.0","163","0","NO"
"1","AlterTable.java","0","0","0","145048","281457","426505","145048","145048.0","224","18","NO"
"1","AlterTableOpType.java","0","0","0","0","0","0","0","0","22","18","NO"
"1","AlterTablespace.java","0","0","0","0","0","0","0","0","80","20","NO"
"1","AlterTablespaceSetType.java","0","0","0","0","0","0","0","0","22","20","NO"
"1","BetweenPredicate.java","1","64","1","22356","53157","75513","22356","22356.0","88","0","NO"
"1","BinaryOperator.java","3","55","1","40534","114409","154943","40534","40534.0","78","0","NO"
"1","BooleanLiteral.java","0","0","0","0","0","0","0","0","32","2","NO"
"1","CaseWhenPredicate.java","1","85","1","50436","118362","168798","50436","50436.0","135","0","NO"
"1","CastExpr.java","1","36","1","24132","68238","92370","24132","24132.0","53","0","NO"
"1","ColumnDefinition.java","0","0","0","115795","131461","247256","115795","115795.0","80","18","NO"
"1","ColumnReferenceExpr.java","3","55","1","33422","90520","123942","33422","33422.0","102","0","NO"
"1","CommonSubquery.java","0","0","0","0","0","0","0","0","60","90","NO"
"1","CountRowsFunctionExpr.java","0","19","1","0","0","0","0","0","29","0","NO"
"1","CreateDatabase.java","0","0","0","114468","134996","249464","114468","114468.0","95","17","NO"
"1","CreateIndex.java","0","0","0","0","0","0","0","0","146","88","NO"
"1","CreateTable.java","3","270","1","36108","89962","126070","44260","44260.0","642","0","NO"
"1","DataTypeExpr.java","1","63","1","24132","68238","92370","24132","24132.0","226","0","NO"
"1","DateLiteral.java","0","0","0","0","0","0","0","0","61","7","NO"
"1","DateValue.java","0","0","0","0","0","0","0","0","77","4","NO"
"1","DropDatabase.java","0","0","0","114468","134996","249464","114468","114468.0","63","17","NO"
"1","DropIndex.java","0","0","0","0","0","0","0","0","54","88","NO"
"1","DropTable.java","2","38","1","47396","96507","143903","47396","47396.0","75","0","NO"
"1","ExistsPredicate.java","1","36","1","0","0","0","0","0","60","0","NO"
"1","Explain.java","0","0","0","152138","291070","443208","152138","152138.0","45","19","NO"
"1","Expr.java","2","111","1","82133","191653","273786","82133","82133.0","149","0","NO"
"1","ExprVisitor.java","0","19","1","0","0","0","0","0","19","0","NO"
"1","FunctionExpr.java","2","68","1","50436","118362","168798","50436","50436.0","98","0","NO"
"1","GeneralSetFunctionExpr.java","0","26","1","8929","34848","43777","8929","8929.0","74","0","NO"
"1","Having.java","1","56","1","40534","114409","154943","40534","40534.0","72","0","NO"
"1","InPredicate.java","1","40","1","82133","191653","273786","82133","82133.0","51","0","NO"
"1","Insert.java","1","120","1","33046","100368","133414","33046","33046.0","159","0","NO"
"1","IntervalLiteral.java","0","0","0","0","0","0","0","0","50","22","NO"
"1","IsNullPredicate.java","2","38","1","50436","118362","168798","50436","50436.0","59","0","NO"
"1","Join.java","2","82","1","50436","118362","168798","50436","50436.0","111","0","NO"
"1","JoinType.java","1","32","1","0","0","0","0","0","32","0","NO"
"1","JsonHelper.java","1","56","1","82133","191653","273786","82133","82133.0","60","0","NO"
"1","JsonSerializable.java","0","23","1","0","0","0","0","0","23","0","NO"
"1","Limit.java","2","49","1","40534","114409","154943","40534","40534.0","65","0","NO"
"1","LiteralValue.java","2","48","1","50436","118362","168798","50436","50436.0","98","0","NO"
"1","NamedExpr.java","0","0","0","0","0","0","0","0","99","8","NO"
"1","NotExpr.java","2","31","1","0","0","0","0","0","31","0","NO"
"1","NullLiteral.java","1","26","1","48415","106907","155322","48415","48415.0","36","4","NO"
"1","OpType.java","3","102","1","47476","104167","151643","47476","47476.0","215","0","NO"
"1","PatternMatchPredicate.java","1","58","1","33390","89370","122760","33390","33390.0","76","0","NO"
"1","Projection.java","1","57","1","50436","118362","168798","50436","50436.0","88","0","NO"
"1","QualifiedAsteriskExpr.java","0","0","0","0","0","0","0","0","74","12","NO"
"1","Relation.java","2","65","1","40534","114409","154943","40534","40534.0","89","0","NO"
"1","RelationList.java","1","58","1","40534","114409","154943","40534","40534.0","83","0","NO"
"1","ScalarSubQuery.java","2","32","1","0","0","0","0","0","36","0","NO"
"1","Selection.java","2","56","1","40534","114409","154943","40534","40534.0","71","0","NO"
"1","SetOperation.java","2","47","1","50436","118362","168798","50436","50436.0","62","0","NO"
"1","SetSession.java","0","0","0","0","0","0","0","0","67","55","NO"
"1","SignedExpr.java","0","0","0","16836","34771","51607","16836","16836.0","54","2","NO"
"1","SimpleTableSubquery.java","1","24","1","84209","390783","474992","84209","84209.0","28","0","NO"
"1","Sort.java","1","90","1","50436","118362","168798","50436","50436.0","159","0","NO"
"1","TablePrimarySubQuery.java","1","23","1","84209","390783","474992","84209","84209.0","26","0","NO"
"1","TimeLiteral.java","0","0","0","0","0","0","0","0","61","5","NO"
"1","TimestampLiteral.java","0","0","0","0","0","0","0","0","69","4","NO"
"1","TimeValue.java","0","0","0","125703","176731","302434","125703","125703.0","95","4","NO"
"1","TruncateTable.java","0","0","0","0","0","0","0","0","51","28","NO"
"1","UnaryOperator.java","2","39","1","0","0","0","0","0","57","0","NO"
"1","ValueListExpr.java","1","40","1","82133","191653","273786","82133","82133.0","59","0","NO"
"1","Window.java","0","0","0","0","0","0","0","0","64","21","NO"
"1","WindowFunctionExpr.java","0","0","0","120710","143085","263795","120710","120710.0","71","21","NO"
"1","WindowSpec.java","0","0","0","69654","171066","240720","69654","69654.0","242","33","NO"
"1","AlgebraTestingUtil.java","0","31","1","0","0","0","0","0","31","0","NO"
