"Version","Class","NFix","NRevision","NAuthor","LocAdded","LocDeleted","LocTouched","MaxLockAdded","AverageLockAdded","Size","Age","Buggy"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/Projection.java","1","57","1","50436","118362","168798","50436","50436.0","88","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/QualifiedAsteriskExpr.java","0","0","0","0","0","0","0","0","74","12","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/Relation.java","2","65","1","40534","114409","154943","40534","40534.0","89","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/RelationList.java","1","58","1","40534","114409","154943","40534","40534.0","83","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/ScalarSubQuery.java","2","32","1","0","0","0","0","0","36","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/Selection.java","2","56","1","40534","114409","154943","40534","40534.0","71","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/SetOperation.java","2","47","1","50436","118362","168798","50436","50436.0","62","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/SetSession.java","0","0","0","0","0","0","0","0","67","55","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/SignedExpr.java","0","0","0","16836","34771","51607","16836","16836.0","54","2","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/SimpleTableSubquery.java","1","24","1","84209","390783","474992","84209","84209.0","28","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/Sort.java","1","90","1","50436","118362","168798","50436","50436.0","159","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/TablePrimarySubQuery.java","1","23","1","84209","390783","474992","84209","84209.0","26","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/TimeLiteral.java","0","0","0","0","0","0","0","0","61","5","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/TimestampLiteral.java","0","0","0","0","0","0","0","0","69","4","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/TimeValue.java","0","0","0","125703","176731","302434","125703","125703.0","95","4","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/TruncateTable.java","0","0","0","0","0","0","0","0","51","28","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/UnaryOperator.java","2","39","1","0","0","0","0","0","57","0","NO"
