"Ticket","FixVersion","AffectedVersion"
"TAJO-1321","0.10.0","0.10.0"
"TAJO-1318","0.10.0","0.10.0"
"TAJO-1313","0.10.0","0.10.0"
"TAJO-1312","0.10.0","0.10.0"
"TAJO-1308","0.10.0","0.10.0"
"TAJO-1304","0.10.0","0.10.0"
"TAJO-1303","0.10.0","0.10.0"
"TAJO-1289","0.10.0","0.9.0"
"TAJO-1259","0.10.0","0.9.0"
"TAJO-1254","0.10.0","0.9.0"
"TAJO-1251","0.10.0","0.9.0"
"TAJO-1250","0.10.0","0.8.0"
"TAJO-1244","0.10.0","0.10.0"
"TAJO-1242","0.10.0","0.10.0"
"TAJO-1237","0.10.0","0.10.0"
"TAJO-1235","0.10.0","0.10.0"
"TAJO-1210","0.10.0","0.10.0"
"TAJO-1208","0.10.0","0.10.0"
"TAJO-1205","0.10.0","0.8.0"
"TAJO-1200","0.10.0","0.9.0"
"TAJO-1197","0.10.0","0.9.0"
"TAJO-1190","0.10.0","0.9.0"
"TAJO-1181","0.10.0","0.8.1"
"TAJO-1162","0.10.0","0.9.0"
"TAJO-1147","0.11.0","0.10.0"
"TAJO-1147","0.10.1","0.10.0"
"TAJO-1146","0.11.0","0.8.0"
"TAJO-1119","0.10.0","0.8.0"
"TAJO-1110","0.9.0","0.9.0"
"TAJO-1103","0.9.0","0.9.0"
"TAJO-1102","0.9.0","0.9.0"
"TAJO-1099","0.9.0","0.8.0"
"TAJO-1097","0.9.0","0.9.0"
"TAJO-1075","0.9.0","0.9.0"
"TAJO-1074","0.9.0","0.9.0"
"TAJO-1072","0.9.0","0.8.0"
"TAJO-1064","0.10.0","0.9.0"
"TAJO-1063","0.10.0","0.9.0"
"TAJO-1056","0.9.0","0.9.0"
"TAJO-1029","0.9.0","0.9.0"
"TAJO-1003","0.10.0","0.9.0"
"TAJO-1000","0.9.0","0.8.0"
"TAJO-995","0.9.0","0.9.0"
"TAJO-985","0.9.0","0.9.0"
"TAJO-908","0.9.0","0.8.0"
"TAJO-902","0.9.0","0.8.0"
"TAJO-879","0.9.0","0.9.0"
"TAJO-873","0.9.0","0.8.0"
"TAJO-869","0.9.0","0.9.0"
"TAJO-861","0.9.0","0.9.0"
"TAJO-858","0.12.0","0.8.0"
"TAJO-858","0.11.2","0.8.0"
"TAJO-852","0.9.0","0.8.0"
"TAJO-795","0.9.0","0.8.0"
"TAJO-795","0.8.1","0.8.0"
"TAJO-772","0.8.0","0.8.0"
"TAJO-772","0.9.0","0.8.0"
"TAJO-765","0.8.0","0.8.0"
"TAJO-765","0.9.0","0.8.0"
"TAJO-763","0.8.0","0.8.0"
"TAJO-763","0.9.0","0.8.0"
