"Index","Ticket","FixVersion"
"169","TAJO-53","0.2-incubating"
"170","TAJO-51","0.2-incubating"
"171","TAJO-50","0.2-incubating"
"172","TAJO-48","0.2-incubating"
"173","TAJO-47","0.2-incubating"
"174","TAJO-46","0.2-incubating"
"175","TAJO-44","0.2-incubating"
"176","TAJO-43","0.2-incubating"
"177","TAJO-42","0.2-incubating"
"178","TAJO-41","0.2-incubating"
"179","TAJO-40","0.2-incubating"
"180","TAJO-39","0.2-incubating"
"181","TAJO-38","0.2-incubating"
"182","TAJO-37","0.2-incubating"
"183","TAJO-33","0.2-incubating"
"184","TAJO-32","0.2-incubating"
"185","TAJO-31","0.2-incubating"
"186","TAJO-28","0.2-incubating"
"187","TAJO-27","0.2-incubating"
"188","TAJO-26","0.2-incubating"
"189","TAJO-25","0.2-incubating"
"190","TAJO-24","0.2-incubating"
"191","TAJO-22","0.2-incubating"
"192","TAJO-21","0.2-incubating"
"193","TAJO-19","0.2-incubating"
"194","TAJO-17","0.2-incubating"
"195","TAJO-15","0.2-incubating"
"196","TAJO-14","0.2-incubating"
"197","TAJO-13","0.2-incubating"
"198","TAJO-12","0.2-incubating"
"199","TAJO-11","0.2-incubating"
"200","TAJO-10","0.2-incubating"
"201","TAJO-8","0.2-incubating"
"202","TAJO-7","0.2-incubating"
"203","TAJO-6","0.2-incubating"
"204","TAJO-4","0.2-incubating"
"205","TAJO-2","0.2-incubating"
"206","TAJO-1","0.2-incubating"
"207","TAJO-788","0.8.0"
"208","TAJO-788","0.9.0"
"209","TAJO-787","0.8.0"
"210","TAJO-787","0.9.0"
"211","TAJO-786","0.8.0"
"212","TAJO-786","0.9.0"
"213","TAJO-777","0.8.0"
"214","TAJO-777","0.9.0"
"215","TAJO-772","0.8.0"
"216","TAJO-772","0.9.0"
"217","TAJO-768","0.8.0"
"218","TAJO-768","0.9.0"
"219","TAJO-765","0.8.0"
"220","TAJO-765","0.9.0"
"221","TAJO-763","0.8.0"
"222","TAJO-763","0.9.0"
"223","TAJO-759","0.8.0"
"224","TAJO-759","0.9.0"
"225","TAJO-755","0.8.0"
"226","TAJO-755","0.9.0"
"227","TAJO-754","0.8.0"
"228","TAJO-754","0.9.0"
"229","TAJO-753","0.8.0"
"230","TAJO-753","0.9.0"
"231","TAJO-752","0.8.0"
"232","TAJO-752","0.9.0"
"233","TAJO-750","0.8.0"
"234","TAJO-750","0.9.0"
"235","TAJO-748","0.8.0"
"236","TAJO-748","0.9.0"
"237","TAJO-747","0.8.0"
"238","TAJO-747","0.9.0"
"239","TAJO-746","0.8.0"
"240","TAJO-745","0.8.0"
"241","TAJO-745","0.9.0"
"242","TAJO-743","0.8.0"
"243","TAJO-743","0.9.0"
"244","TAJO-741","0.8.0"
"245","TAJO-741","0.9.0"
"246","TAJO-739","0.8.0"
"247","TAJO-739","0.9.0"
"248","TAJO-738","0.8.0"
"249","TAJO-738","0.9.0"
"250","TAJO-737","0.8.0"
"251","TAJO-737","0.9.0"
"252","TAJO-736","0.8.0"
"253","TAJO-736","0.9.0"
"254","TAJO-735","0.8.0"
"255","TAJO-735","0.9.0"
"256","TAJO-732","0.8.0"
"257","TAJO-732","0.9.0"
"258","TAJO-729","0.8.0"
"259","TAJO-729","0.9.0"
"260","TAJO-728","0.8.0"
"261","TAJO-728","0.9.0"
"262","TAJO-725","0.8.0"
"263","TAJO-725","0.9.0"
"264","TAJO-719","0.8.0"
"265","TAJO-719","0.9.0"
"266","TAJO-718","0.8.0"
"267","TAJO-718","0.9.0"
"268","TAJO-717","0.8.0"
